payment_id,customer_id,amount,failure_reason,payment_method,retry_count,customer_lifetime_value,previous_success_rate,previous_recovery_rate,hour,day_of_week,recovered
PAY_000047,CUS_0303,12438.22,expired_method,upi,2,153159.02,0.9239,0.8684,12,2,0
PAY_000048,CUS_0317,11566.1,insufficient_funds,wallet,2,289715.69,0.9189,0.7178,6,5,0
PAY_000049,CUS_0480,10791.05,expired_method,netbanking,2,62799.7,0.531,0.6768,18,2,0
PAY_000050,CUS_0120,5541.03,insufficient_funds,netbanking,1,149893.24,0.8215,0.8676,20,2,0
PAY_000051,CUS_0287,7870.03,insufficient_funds,card,2,50327.18,0.7368,0.8398,6,3,0
PAY_000052,CUS_0218,4823.18,network_error,wallet,3,274900.46,0.7382,0.8145,19,3,1
PAY_000053,CUS_0134,21649.8,insufficient_funds,upi,2,83993.5,0.9117,0.8051,0,6,0
PAY_000054,CUS_0112,17569.64,insufficient_funds,upi,0,119771.59,0.9745,0.8024,15,2,0
PAY_000055,CUS_0068,12275.79,renewal_failed,upi,2,291530.53,0.8027,0.6221,20,2,0
PAY_000056,CUS_0234,3409.85,renewal_failed,netbanking,1,194386.26,0.8173,0.3944,20,3,0
PAY_000057,CUS_0576,6731.92,network_error,wallet,2,105515.09,0.8076,0.4725,7,0,0
PAY_000058,CUS_0570,17266.83,network_error,netbanking,2,301632.52,0.9418,0.6822,15,6,1
PAY_000059,CUS_0186,6212.66,renewal_failed,card,2,271688.41,0.9625,0.8876,11,2,0
PAY_000060,CUS_0160,43065.14,network_error,upi,0,205549.67,0.8107,0.595,17,0,0
PAY_000061,CUS_0405,3903.73,insufficient_funds,netbanking,1,140292.61,0.9004,0.6182,16,2,1
PAY_000062,CUS_0080,63309.54,expired_method,netbanking,0,163184.22,0.8066,0.7876,18,3,1
PAY_000063,CUS_0227,43106.48,renewal_failed,wallet,2,138320.52,0.7657,0.7785,14,2,0
PAY_000064,CUS_0476,10143.57,renewal_failed,upi,1,68497.96,0.9285,0.8132,6,6,0
PAY_000065,CUS_0294,57198.63,network_error,netbanking,2,203691.83,0.7878,0.6719,15,0,0
PAY_000066,CUS_0352,47408.35,renewal_failed,wallet,1,180946.71,0.8685,0.7661,5,0,0
PAY_000067,CUS_0291,16460.48,network_error,wallet,1,198259.29,0.8372,0.718,11,4,0
PAY_000068,CUS_0521,6265.29,network_error,card,1,300656.69,0.6876,0.6679,16,5,0
PAY_000069,CUS_0785,9921.86,card_declined,card,1,247040.74,0.8831,0.7771,16,5,0
PAY_000070,CUS_0199,19974.34,card_declined,card,1,224167.84,0.8685,0.8579,21,6,0
PAY_000071,CUS_0292,45938.42,expired_method,wallet,1,138622.18,0.7377,0.6149,18,4,0
PAY_000072,CUS_0850,11580.43,network_error,upi,3,77275.86,0.8174,0.338,19,1,1
PAY_000073,CUS_0114,10680.39,network_error,wallet,1,290627.54,0.7326,0.8989,17,4,0
PAY_000074,CUS_0568,33652.41,renewal_failed,upi,1,187414.81,0.8311,0.805,16,6,0
PAY_000075,CUS_0798,4808.95,expired_method,netbanking,2,119413.29,0.678,0.8702,12,5,1
PAY_000076,CUS_0800,12886.92,card_declined,upi,2,302404.81,0.895,0.7154,18,2,0
PAY_000077,CUS_0106,2832.42,network_error,wallet,2,287126.9,0.8113,0.9198,19,4,0
PAY_000078,CUS_0032,6847.89,network_error,card,2,117682.66,0.7707,0.6171,19,5,1
PAY_000079,CUS_0256,3830.32,network_error,upi,0,81630.56,0.9183,0.8761,13,2,0
PAY_000080,CUS_0830,5467.31,renewal_failed,upi,1,89210.41,0.8709,0.5464,20,3,0
PAY_000081,CUS_0810,67258.46,expired_method,netbanking,2,179599.11,0.8927,0.8107,22,6,1
PAY_000082,CUS_0658,13189.32,renewal_failed,netbanking,1,314699.73,0.9138,0.7993,17,1,0
PAY_000083,CUS_0532,4473.44,renewal_failed,netbanking,0,266664.76,0.8285,0.8536,21,1,0
PAY_000084,CUS_0030,5229.73,renewal_failed,netbanking,0,102481.28,0.9072,0.5294,19,4,1
PAY_000085,CUS_0496,22155.2,card_declined,wallet,1,17449.2,0.8429,0.7027,18,1,0
PAY_000086,CUS_0429,12407.28,card_declined,netbanking,2,107626.71,0.8076,0.6848,5,3,0
PAY_000087,CUS_0670,6671.43,renewal_failed,netbanking,1,57714.83,0.9506,0.687,10,4,0
PAY_000088,CUS_0846,18610.76,insufficient_funds,upi,1,283326.19,0.8782,0.7228,16,6,0
PAY_000089,CUS_0327,6568.68,expired_method,netbanking,2,70106.06,0.9484,0.7065,16,2,0
PAY_000090,CUS_0672,21347.66,expired_method,wallet,2,101534.66,0.8179,0.6534,2,3,0
PAY_000091,CUS_0429,75703.14,renewal_failed,card,2,190059.26,0.7345,0.8869,7,0,0
PAY_000092,CUS_0271,2847.89,network_error,wallet,2,237581.23,0.7274,0.7402,18,5,0
PAY_000093,CUS_0405,16107.35,card_declined,netbanking,1,78158.52,0.7266,0.5529,7,5,0
PAY_000094,CUS_0544,24081.39,expired_method,upi,1,146021.35,0.8754,0.9229,17,1,1
PAY_000095,CUS_0788,8178.29,insufficient_funds,wallet,1,155390.02,0.5522,0.5673,10,2,0
PAY_000096,CUS_0344,3558.07,renewal_failed,upi,3,62620.21,0.8999,0.6332,0,4,0
PAY_000097,CUS_0528,15024.29,card_declined,wallet,1,260349.93,0.7561,0.8014,17,3,0
PAY_000098,CUS_0315,9007.9,insufficient_funds,card,3,156965.68,0.87,0.8221,9,5,1
PAY_000099,CUS_0254,3018.0,expired_method,upi,1,301478.31,0.8201,0.4495,19,6,1
PAY_000100,CUS_0523,24645.65,insufficient_funds,wallet,1,120876.88,0.9211,0.6606,18,3,1
PAY_000101,CUS_0062,12342.1,card_declined,wallet,1,26013.88,0.7468,0.7729,12,0,0
PAY_000102,CUS_0131,7774.65,network_error,netbanking,3,127333.64,0.8941,0.7048,8,4,0
PAY_000103,CUS_0430,19976.41,insufficient_funds,upi,3,152457.22,0.8745,0.831,19,0,0
PAY_000104,CUS_0592,158517.54,insufficient_funds,card,1,39479.77,0.6046,0.6611,19,5,0
PAY_000105,CUS_0805,20138.2,expired_method,card,1,52697.26,0.8856,0.8658,22,5,0
PAY_000106,CUS_0249,14921.4,network_error,card,1,65370.24,0.893,0.8546,14,4,1
PAY_000107,CUS_0214,8086.39,insufficient_funds,wallet,2,36848.77,0.898,0.851,18,4,1
PAY_000108,CUS_0369,28572.23,insufficient_funds,card,3,308168.2,0.7667,0.6308,16,2,0
PAY_000109,CUS_0252,13835.44,insufficient_funds,wallet,2,107912.78,0.9332,0.6488,8,1,0
PAY_000110,CUS_0537,13322.7,expired_method,netbanking,2,160449.78,0.8576,0.677,20,5,0
PAY_000111,CUS_0740,24770.09,card_declined,upi,2,10852.14,0.7908,0.7549,16,0,1
PAY_000112,CUS_0033,45808.9,card_declined,upi,3,171608.25,0.8588,0.744,6,6,0
PAY_000113,CUS_0709,5438.43,renewal_failed,wallet,0,10948.45,0.7951,0.8865,4,1,0
PAY_000114,CUS_0399,36830.69,insufficient_funds,upi,2,95476.38,0.905,0.4601,10,4,1
PAY_000115,CUS_0650,22670.85,network_error,card,2,223064.89,0.7943,0.618,17,6,0
PAY_000116,CUS_0110,13094.94,network_error,wallet,1,190793.04,0.8624,0.6331,8,3,0
PAY_000117,CUS_0087,9722.45,insufficient_funds,card,0,142465.61,0.9276,0.6129,1,3,0
PAY_000118,CUS_0609,26918.84,card_declined,card,2,60884.54,0.8946,0.5396,21,5,0
PAY_000119,CUS_0408,17950.03,card_declined,netbanking,0,131455.9,0.8794,0.8205,18,3,1
PAY_000120,CUS_0248,33120.0,network_error,card,1,95453.65,0.7945,0.4676,18,1,0
PAY_000121,CUS_0088,8943.84,network_error,wallet,0,317098.59,0.8194,0.6445,20,4,0
PAY_000122,CUS_0155,6547.7,expired_method,card,1,21820.57,0.8089,0.7617,19,4,0
PAY_000123,CUS_0069,10741.52,insufficient_funds,netbanking,1,308059.09,0.876,0.7241,15,5,0
PAY_000124,CUS_0406,3152.15,insufficient_funds,upi,2,210166.61,0.9151,0.829,8,5,0
PAY_000125,CUS_0398,4824.0,network_error,upi,2,72204.76,0.951,0.7783,16,5,0
PAY_000126,CUS_0398,19339.18,expired_method,netbanking,2,200617.16,0.901,0.7802,8,5,1
PAY_000127,CUS_0394,11729.3,network_error,wallet,1,206276.51,0.8476,0.8873,0,1,1
PAY_000128,CUS_0524,48394.32,network_error,wallet,2,137676.7,0.7927,0.8093,18,6,0
PAY_000129,CUS_0756,4769.22,insufficient_funds,wallet,1,316810.03,0.6521,0.7169,19,1,1
PAY_000130,CUS_0527,16087.93,renewal_failed,wallet,0,51441.31,0.9253,0.7442,10,2,0
PAY_000131,CUS_0651,4062.79,card_declined,wallet,1,188156.77,0.8075,0.9754,18,5,0
PAY_000132,CUS_0642,18977.64,insufficient_funds,wallet,1,142048.65,0.6419,0.748,18,0,1
PAY_000133,CUS_0744,27472.86,insufficient_funds,card,1,8210.89,0.8048,0.7991,8,3,0
PAY_000134,CUS_0307,19099.19,insufficient_funds,upi,0,156763.69,0.692,0.67,7,2,0
PAY_000135,CUS_0127,19946.42,card_declined,upi,1,10644.12,0.7741,0.5461,6,0,1
PAY_000136,CUS_0522,16310.71,network_error,netbanking,2,85309.35,0.8133,0.9129,20,1,0
PAY_000137,CUS_0789,6617.53,insufficient_funds,card,1,43176.02,0.816,0.5918,18,6,0
PAY_000138,CUS_0209,3228.52,insufficient_funds,netbanking,1,295844.74,0.6967,0.6923,6,0,0
PAY_000139,CUS_0509,7518.07,insufficient_funds,netbanking,2,235747.01,0.7631,0.5754,18,5,1
PAY_000140,CUS_0467,49189.27,expired_method,card,1,241930.23,0.9433,0.6816,22,5,1
PAY_000141,CUS_0823,13570.67,renewal_failed,card,1,87596.22,0.6671,0.7389,7,6,1
PAY_000142,CUS_0758,11348.41,network_error,netbanking,1,32300.77,0.6917,0.7004,8,4,0
PAY_000143,CUS_0244,18291.17,renewal_failed,wallet,3,250076.42,0.8402,0.7369,11,1,0
PAY_000144,CUS_0323,784.34,card_declined,netbanking,0,295437.61,0.8288,0.5692,21,1,1
PAY_000145,CUS_0123,35003.47,expired_method,netbanking,1,80886.7,0.9387,0.7388,15,3,1
PAY_000146,CUS_0144,5377.96,renewal_failed,upi,1,275250.86,0.9263,0.7811,6,0,0
PAY_000147,CUS_0473,21934.32,card_declined,wallet,1,204652.84,0.8934,0.9176,19,2,1
PAY_000148,CUS_0090,9576.79,network_error,upi,1,141119.17,0.8651,0.5786,16,4,0
PAY_000149,CUS_0831,9411.46,card_declined,card,1,258276.44,0.7738,0.7738,11,1,1
PAY_000150,CUS_0577,17917.15,insufficient_funds,card,1,314591.37,0.8784,0.747,12,4,0
PAY_000151,CUS_0601,14330.18,insufficient_funds,upi,0,195718.79,0.751,0.8844,20,0,1
PAY_000152,CUS_0229,18532.69,insufficient_funds,netbanking,3,124560.32,0.8749,0.9191,18,4,0
PAY_000153,CUS_0509,45450.74,network_error,netbanking,2,99889.39,0.7165,0.8009,17,5,0
PAY_000154,CUS_0777,71990.08,network_error,upi,1,85856.75,0.7762,0.7091,15,6,0
PAY_000155,CUS_0445,18156.06,insufficient_funds,upi,1,107439.68,0.687,0.7521,21,1,0
PAY_000156,CUS_0299,8112.08,renewal_failed,netbanking,2,100789.0,0.7349,0.5367,6,1,0
PAY_000157,CUS_0771,46337.57,insufficient_funds,netbanking,2,154934.67,0.8686,0.6702,19,4,1
PAY_000158,CUS_0732,18006.85,expired_method,wallet,3,191994.65,0.7127,0.7432,15,0,0
PAY_000159,CUS_0566,14099.04,renewal_failed,card,0,244242.89,0.8913,0.5887,5,3,0
PAY_000160,CUS_0549,9607.63,network_error,upi,2,202394.07,0.8471,0.4613,17,0,0
PAY_000161,CUS_0713,5230.72,renewal_failed,wallet,0,93929.21,0.848,0.9661,11,2,0
PAY_000162,CUS_0727,7834.29,network_error,netbanking,1,138033.09,0.9042,0.6018,16,1,1
PAY_000163,CUS_0609,13504.65,renewal_failed,upi,0,281056.33,0.8222,0.7366,18,1,0
PAY_000164,CUS_0021,2051.66,network_error,netbanking,1,269347.98,0.9345,0.8664,8,5,0
PAY_000165,CUS_0534,21492.89,card_declined,card,1,10640.68,0.8454,0.7955,9,3,0
PAY_000166,CUS_0672,27953.99,insufficient_funds,upi,1,214654.9,0.831,0.8767,17,6,1
PAY_000167,CUS_0586,9654.24,card_declined,upi,2,258337.49,0.7824,0.8342,13,0,0
PAY_000168,CUS_0697,25856.01,card_declined,wallet,2,217622.96,0.6905,0.8099,19,6,0
PAY_000169,CUS_0200,65315.66,card_declined,netbanking,1,279886.86,0.8473,0.9026,17,4,1
PAY_000170,CUS_0647,13425.95,network_error,netbanking,1,279704.93,0.8174,0.9112,8,0,0
PAY_000171,CUS_0039,35339.25,insufficient_funds,upi,1,73327.3,0.9258,0.8064,14,3,0
PAY_000172,CUS_0346,15869.25,insufficient_funds,netbanking,2,173682.54,0.9373,0.8936,15,4,0
PAY_000173,CUS_0262,9990.04,card_declined,netbanking,3,160935.75,0.6757,0.7064,19,3,0
PAY_000174,CUS_0104,35875.3,renewal_failed,upi,2,211913.1,0.7189,0.8575,17,2,0
PAY_000175,CUS_0303,18132.54,renewal_failed,card,1,288370.04,0.8772,0.603,22,2,0
PAY_000176,CUS_0468,4762.2,card_declined,wallet,1,8854.26,0.7216,0.6249,7,2,0
PAY_000177,CUS_0096,12651.58,card_declined,upi,2,120386.98,0.9303,0.6959,21,2,0
PAY_000178,CUS_0186,10239.72,insufficient_funds,wallet,1,150440.07,0.869,0.8116,15,4,0
PAY_000179,CUS_0786,26684.48,renewal_failed,upi,2,282544.48,0.8531,0.9381,1,6,0
PAY_000180,CUS_0659,44821.22,card_declined,netbanking,1,222731.39,0.7678,0.874,20,4,1
PAY_000181,CUS_0324,44609.75,network_error,wallet,2,31357.96,0.8902,0.7217,15,6,0
PAY_000182,CUS_0056,4716.77,insufficient_funds,upi,1,19179.56,0.7273,0.7339,15,2,0
PAY_000183,CUS_0735,4956.77,renewal_failed,wallet,2,121347.9,0.8545,0.8277,20,3,1
PAY_000184,CUS_0469,23467.24,expired_method,card,1,298227.47,0.7083,0.332,17,6,0
PAY_000185,CUS_0624,4912.2,renewal_failed,upi,1,143036.84,0.7384,0.7105,11,3,0
PAY_000186,CUS_0689,43483.2,card_declined,card,1,226404.46,0.7971,0.7254,17,2,0
PAY_000187,CUS_0687,2343.13,card_declined,netbanking,2,245361.81,0.7796,0.7606,7,3,1
PAY_000188,CUS_0575,5824.57,card_declined,netbanking,2,53685.66,0.8357,0.65,17,1,0
PAY_000189,CUS_0377,9781.03,expired_method,upi,3,128917.05,0.9233,0.564,20,5,0
PAY_000190,CUS_0262,28918.18,renewal_failed,card,2,308858.42,0.7368,0.6905,17,1,1
PAY_000191,CUS_0219,57484.25,renewal_failed,netbanking,1,186675.22,0.8544,0.6426,16,0,0
PAY_000192,CUS_0699,18678.09,expired_method,card,3,200903.55,0.7359,0.7247,20,1,0
PAY_000193,CUS_0172,31432.11,insufficient_funds,wallet,1,233880.39,0.5723,0.7984,11,0,0
PAY_000194,CUS_0183,15095.56,card_declined,card,2,140353.35,0.6772,0.8873,11,0,1
PAY_000195,CUS_0784,33313.54,renewal_failed,card,3,135181.43,0.8638,0.7721,18,4,1
PAY_000196,CUS_0569,34429.69,insufficient_funds,wallet,0,76598.11,0.818,0.6624,21,0,0
PAY_000197,CUS_0770,15751.8,renewal_failed,upi,1,241468.54,0.81,0.7844,19,6,1
PAY_000198,CUS_0314,11872.18,expired_method,upi,1,69594.29,0.866,0.8622,16,2,0
PAY_000199,CUS_0368,18274.15,renewal_failed,netbanking,2,307101.58,0.6576,0.8004,11,3,0
PAY_000200,CUS_0605,27862.57,insufficient_funds,card,1,33575.79,0.7123,0.613,19,4,0
PAY_000201,CUS_0457,15636.12,card_declined,netbanking,1,286128.51,0.9202,0.2526,18,6,0
PAY_000202,CUS_0048,4543.64,renewal_failed,card,2,158853.07,0.8101,0.8091,12,3,0
PAY_000203,CUS_0143,17194.04,expired_method,card,1,126097.78,0.9379,0.763,20,0,0
PAY_000204,CUS_0421,12002.6,renewal_failed,netbanking,1,66314.57,0.9113,0.8006,8,1,0
PAY_000205,CUS_0494,15066.46,renewal_failed,upi,2,53821.91,0.7686,0.692,9,4,0
PAY_000206,CUS_0630,26208.19,card_declined,netbanking,0,221904.44,0.9601,0.6589,17,1,0
PAY_000207,CUS_0822,40968.94,renewal_failed,upi,0,213730.49,0.9931,0.7887,18,3,1
PAY_000208,CUS_0008,12015.37,expired_method,upi,1,87409.62,0.9447,0.9662,0,4,1
PAY_000209,CUS_0496,10766.0,expired_method,wallet,1,56290.92,0.8707,0.7913,15,2,0
PAY_000210,CUS_0054,8206.02,expired_method,wallet,2,274759.66,0.8536,0.6762,16,5,0
PAY_000211,CUS_0531,12151.87,card_declined,netbanking,0,19779.67,0.776,0.7224,8,5,0
PAY_000212,CUS_0093,17713.36,card_declined,card,2,120238.88,0.938,0.7401,1,5,1
PAY_000213,CUS_0551,17128.99,renewal_failed,netbanking,1,262440.64,0.7998,0.7274,7,4,0
PAY_000214,CUS_0236,36716.15,network_error,wallet,1,248229.76,0.8622,0.8785,17,1,0
PAY_000215,CUS_0700,26932.8,expired_method,upi,2,90165.1,0.7062,0.8001,17,1,0
PAY_000216,CUS_0494,27699.04,card_declined,card,2,280295.66,0.8549,0.5601,19,4,0
PAY_000217,CUS_0124,10319.4,renewal_failed,netbanking,1,315131.14,0.9295,0.7219,18,1,0
PAY_000218,CUS_0185,22112.73,insufficient_funds,upi,2,126381.54,0.8293,0.6775,13,3,0
PAY_000219,CUS_0576,52781.63,expired_method,card,1,275168.33,0.6909,0.5648,11,3,0
PAY_000220,CUS_0292,6920.02,card_declined,netbanking,1,204517.01,0.8529,0.8898,18,1,0
PAY_000221,CUS_0352,7270.15,network_error,wallet,2,126894.15,0.8965,0.7523,19,0,1
PAY_000222,CUS_0082,7738.61,expired_method,netbanking,1,131382.06,0.87,0.8079,9,5,0
PAY_000223,CUS_0291,6913.38,insufficient_funds,upi,3,155633.97,0.7203,0.8163,13,1,0
PAY_000224,CUS_0468,12218.47,renewal_failed,card,0,215027.33,0.8736,0.7543,18,1,0
PAY_000225,CUS_0140,21892.48,renewal_failed,wallet,1,207532.81,0.7884,0.8004,0,6,0
PAY_000226,CUS_0226,8922.71,insufficient_funds,wallet,3,156844.93,0.9727,0.7465,18,3,0
PAY_000227,CUS_0023,7608.18,card_declined,netbanking,1,239793.19,0.902,0.7069,1,0,0
PAY_000228,CUS_0795,8265.7,expired_method,card,2,234857.41,0.7896,0.5448,19,1,1
PAY_000229,CUS_0485,9670.11,card_declined,card,2,86024.79,0.8399,0.7884,6,5,0
PAY_000230,CUS_0596,45572.4,renewal_failed,upi,1,207218.24,0.8997,0.7725,19,0,0
PAY_000231,CUS_0572,28041.07,renewal_failed,card,1,35917.73,0.7314,0.4719,7,1,0
PAY_000232,CUS_0282,68031.18,network_error,card,0,125863.91,0.9591,0.7427,16,2,0
PAY_000233,CUS_0552,46972.56,renewal_failed,card,0,56367.95,0.754,0.4498,9,5,1
PAY_000234,CUS_0605,22936.72,network_error,card,1,108651.21,0.8335,0.698,18,4,0
PAY_000235,CUS_0844,7874.49,renewal_failed,upi,0,295362.99,0.7209,0.6575,19,6,0
PAY_000236,CUS_0109,18783.63,insufficient_funds,netbanking,0,75360.82,0.8902,0.6191,17,4,0
PAY_000237,CUS_0247,31668.11,network_error,wallet,2,60044.51,0.825,0.7424,14,5,0
PAY_000238,CUS_0142,14916.84,renewal_failed,netbanking,1,149149.88,0.7769,0.8292,6,3,0
PAY_000239,CUS_0749,8420.47,expired_method,upi,1,185548.26,0.835,0.6419,6,5,0
PAY_000240,CUS_0335,26482.66,insufficient_funds,netbanking,1,262948.21,0.7673,0.5109,4,4,0
PAY_000241,CUS_0514,13416.36,insufficient_funds,wallet,3,242886.14,0.8483,0.6393,16,2,1
PAY_000242,CUS_0424,9921.17,card_declined,wallet,1,160212.66,0.81,0.5335,20,0,1
PAY_000243,CUS_0746,11372.82,expired_method,netbanking,1,15552.53,0.7631,0.9079,8,2,1
PAY_000244,CUS_0769,23050.27,insufficient_funds,card,3,297139.66,0.9785,0.8934,16,1,0
PAY_000245,CUS_0676,7039.58,card_declined,upi,1,290684.57,0.9422,0.7787,5,5,1
PAY_000246,CUS_0019,10774.75,expired_method,wallet,1,126778.78,0.7916,0.8144,12,3,0
PAY_000247,CUS_0392,9657.92,expired_method,card,3,313319.4,0.8615,0.9057,13,1,1
PAY_000248,CUS_0537,14593.07,card_declined,wallet,1,55657.74,0.9263,0.6363,20,2,0
PAY_000249,CUS_0281,35819.2,card_declined,card,1,181890.17,0.7221,0.8397,21,5,0
PAY_000250,CUS_0730,7418.96,card_declined,card,0,315618.15,0.8065,0.8539,7,6,0
PAY_000251,CUS_0795,17180.85,network_error,wallet,1,59101.35,0.728,0.6027,20,1,0
PAY_000252,CUS_0171,10520.27,renewal_failed,upi,1,148902.19,0.795,0.8201,11,6,0
PAY_000253,CUS_0730,10146.98,insufficient_funds,card,1,209583.67,0.8551,0.849,2,3,0
PAY_000254,CUS_0154,5813.2,card_declined,upi,0,228342.73,0.7776,0.8733,12,6,0
PAY_000255,CUS_0082,7769.02,insufficient_funds,wallet,1,235810.47,0.778,0.7962,18,3,0
PAY_000256,CUS_0717,27627.36,renewal_failed,card,0,54255.92,0.7054,0.8257,18,4,0
PAY_000257,CUS_0538,24656.56,card_declined,wallet,2,120378.86,0.7752,0.8061,20,2,0
PAY_000258,CUS_0363,8075.06,insufficient_funds,upi,1,313557.18,0.7561,0.8102,9,4,0
PAY_000259,CUS_0826,61066.21,network_error,wallet,1,64131.06,0.9639,0.4607,14,2,0
PAY_000260,CUS_0662,7548.7,insufficient_funds,netbanking,1,179598.0,0.8889,0.582,15,3,0
PAY_000261,CUS_0288,7391.84,network_error,netbanking,1,262019.99,0.7726,0.5675,19,0,0
PAY_000262,CUS_0310,27109.34,network_error,card,1,129544.68,0.7539,0.7181,9,3,0
PAY_000263,CUS_0529,7643.52,insufficient_funds,netbanking,2,250670.6,0.9743,0.7188,7,6,1
PAY_000264,CUS_0215,17670.37,insufficient_funds,wallet,1,277820.78,0.9259,0.7201,2,6,1
PAY_000265,CUS_0588,9853.21,expired_method,netbanking,2,217390.7,0.9061,0.7244,10,5,0
PAY_000266,CUS_0632,9163.0,renewal_failed,netbanking,1,23826.57,0.8982,0.4955,17,5,0
PAY_000267,CUS_0148,9929.14,card_declined,upi,3,243791.8,0.7021,0.646,15,1,0
PAY_000268,CUS_0131,48714.79,expired_method,wallet,1,294186.5,0.8496,0.5823,10,2,0
PAY_000269,CUS_0804,13607.25,insufficient_funds,netbanking,1,30128.28,0.7713,0.6726,8,5,0
PAY_000270,CUS_0507,6581.09,card_declined,upi,2,230115.55,0.9315,0.6442,17,6,0
